hour,mean,std,median
0,8.868757492002167,9.471307103134558,7.0
1,8.665705178948492,9.203099966089919,6.8
2,8.498790278697946,9.06478504158927,6.7
3,8.385736890988522,8.850474842119224,6.6
4,8.36472616946962,8.84408551870966,6.6
5,8.452595897067038,8.827522183282262,6.8
6,8.661355718911619,8.9909701537755,7.0
7,8.898281107803365,9.035299369732483,7.0
8,8.907773111676361,8.795861851056017,7.0
9,8.631697247706422,8.579181345828983,7.0
10,8.306507130742915,8.381231658189842,6.6
11,7.989728752330791,8.218557528170662,6.3
12,7.729930167353189,8.094835480811035,6.0
13,7.553264351925564,7.949314616572087,6.0
14,7.421762056507463,7.832656682956436,6.0
15,7.3169175552505115,7.70643881677369,5.9
16,7.363773221305789,7.800956673825201,6.0
17,7.577774293102652,7.947245566432135,6.0
18,7.987177122302987,8.3960986529089,6.2
19,8.438592913049556,8.8286726756243,6.6
20,8.8476529849608,9.436436190331356,7.0
21,9.060078252562429,9.783328557505893,7.0
22,9.052238967859793,9.723557071214636,7.0
23,8.944735142672632,9.634090668288588,7.0
